Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E4A4G4,2364,2993,2784.1,2798.0,138.25,0.006325364179788548,6.0,7.0,6.625,7.0,1.0,4.906214377265536e-09,0.0,0.0,0.0,0.0,0.0,,3.0,16.0,5.2,4.0,3.0,1.874142588460227e-07
E4A4G6,2583,2956,2806.775,2825.0,140.5,0.010098969706297761,6.0,7.0,6.55,7.0,1.0,9.272403215360989e-09,0.0,0.0,0.0,0.0,0.0,,3.0,12.0,4.8,3.5,3.0,1.5505137878185156e-06
E4A4G9,2425,3012,2783.725,2827.5,171.0,0.013378366098732395,6.0,7.0,6.5875,7.0,1.0,1.2261664331181668e-08,0.0,0.0,0.0,0.0,0.0,,3.0,17.0,5.2,3.0,3.25,8.140727961740392e-08
E4A6G1,2395,3002,2797.425,2811.0,145.75,0.004860447665438067,6.0,7.0,6.5625,7.0,1.0,1.4733998223259633e-08,0.0,0.0,0.0,0.0,0.0,,3.0,18.0,5.05,3.5,3.0,5.02037893724157e-08
E4A6G4,2163,2957,2770.6,2821.5,99.75,3.9239068202348615e-06,6.0,7.0,6.625,7.0,1.0,4.906214377265536e-09,0.0,0.0,0.0,0.0,0.0,,3.0,26.0,5.825,4.0,3.0,3.60362959920492e-09
E4A6G6,2507,2978,2786.075,2806.5,171.5,0.05295619884056402,6.0,7.0,6.675,7.0,1.0,2.375754513428789e-09,0.0,0.0,0.0,0.0,0.0,,3.0,13.0,5.375,4.0,4.0,2.3433732333523535e-06
E4A6G9,2574,2986,2803.375,2803.5,137.0,0.6961362818054277,6.0,7.0,6.6,7.0,1.0,6.44306851048433e-09,0.0,0.0,0.0,0.0,0.0,,3.0,10.0,4.5,4.0,2.0,9.564770407929291e-08
E4A9G1,2514,2947,2821.2,2841.5,119.25,0.0014604421492200943,6.0,7.0,6.55,7.0,1.0,9.272403215360989e-09,0.0,0.0,0.0,0.0,0.0,,3.0,10.0,4.25,4.0,2.0,8.073143608931476e-08
E4A9G4,2065,2947,2763.6,2810.0,143.0,1.6743798597456587e-06,6.0,7.0,6.6,7.0,1.0,6.44306851048433e-09,0.0,0.0,0.0,0.0,0.0,,3.0,29.0,6.35,4.0,4.0,1.6362348021149175e-08
E4A9G6,2111,2965,2768.575,2827.5,156.0,1.4621847717969756e-05,6.0,7.0,6.625,7.0,1.0,4.906214377265536e-09,0.0,0.0,0.0,0.0,0.0,,3.0,27.0,6.1,4.0,4.0,3.6897887082274406e-08
E4A9G9,2446,3000,2813.55,2827.0,110.5,0.013293088599665204,6.0,7.0,6.5375,7.0,1.0,1.6656188824027004e-08,0.0,0.0,0.0,0.0,0.0,,3.0,17.0,4.65,4.0,2.0,7.919798178632113e-09
E6A1G1,2825,5264,4592.1,4787.5,798.0,0.0003258796935045478,6.0,8.0,7.125,7.0,0.0,7.626721814969266e-09,0.0,0.0,0.0,0.0,0.0,,3.0,45.0,14.025,11.0,16.0,0.00012940547248432743
E6A1G4,1549,5185,4431.075,4608.5,692.5,1.9238527043806243e-06,6.0,12.0,7.3,7.0,0.0,5.0515910903931155e-11,0.0,0.0,0.0,0.0,0.0,,3.0,72.0,16.375,14.0,12.0,3.1173561831604378e-06
E6A1G6,3167,5302,4573.95,4708.0,906.75,0.0033012516274273144,6.0,8.0,7.125,7.0,0.0,5.223075146884219e-10,0.0,0.0,0.0,0.0,0.0,,3.0,38.0,13.55,10.0,16.25,0.00011693171399756998
E6A1G9,2255,5341,4306.475,4535.0,1430.75,0.0021545512569420945,6.0,10.0,7.425,7.0,1.0,3.926759919136817e-07,0.0,0.0,0.0,0.0,0.0,,3.0,58.0,18.5,13.5,26.25,0.00033702229523823406
E6A4G1,1520,5334,4550.85,4717.5,579.5,2.811976450868576e-06,7.0,12.0,7.225,7.0,0.0,1.251426920578238e-12,0.0,0.0,0.0,0.0,0.0,,3.0,72.0,14.8,11.0,12.5,6.822391151097764e-07
E6A4G4,2937,5358,4470.875,4584.5,979.75,0.04003877400808546,6.0,8.0,7.2,7.0,0.0,5.4331295349948474e-09,0.0,0.0,0.0,0.0,0.0,,3.0,43.0,16.275,13.0,17.25,0.0044373856544301545
E6A4G6,262,5247,4435.3,4689.0,727.5,1.724988824933423e-07,6.0,17.0,7.375,7.0,0.0,3.5788650782782695e-12,0.0,0.0,0.0,0.0,0.0,,3.0,95.0,16.525,11.0,13.5,8.761825470120987e-08
