Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A4G6T9,413,6.0,0.0014618366187407,9.0
E1A4G9T1,411,6.0,0.0186080701589427,9.0
E1A4G9T10,358,6.0,0.0157128498275112,5.0
E1A4G9T11,381,6.0,0.0171816459266171,4.0
E1A4G9T12,380,6.0,0.0172461244365346,4.0
E1A4G9T13,369,6.0,0.0166135622015205,7.0
E1A4G9T14,354,6.0,0.0157460683503056,6.0
E1A4G9T15,373,6.0,0.0169073881149858,57.0
E1A4G9T16,403,6.0,0.0186336692405174,20.0
E1A4G9T17,388,6.0,0.0175948779437117,3.0
E1A4G9T18,395,6.0,0.0178913886436163,3.0
E1A4G9T19,381,6.0,0.017481487464454,9.0
E1A4G9T2,361,6.0,0.0163364452008913,10.0
E1A4G9T20,361,6.0,0.0160968836672025,5.0
E1A4G9T21,374,6.0,0.0165285298795982,7.0
E1A4G9T22,431,6.0,0.0208059176196307,8.0
E1A4G9T23,360,6.0,0.0162717256053037,4.0
E1A4G9T24,376,6.0,0.0170607078292221,14.0
E1A4G9T25,369,7.0,0.015870497373235,4.0
E1A4G9T26,411,6.0,0.0185233397240594,4.0
E1A4G9T27,384,6.0,0.0178526637306592,26.0
E1A4G9T28,398,6.0,0.0185844463546109,4.0
E1A4G9T29,372,6.0,0.0165421588810013,4.0
E1A4G9T3,375,6.0,0.017312789007239,6.0
E1A4G9T30,381,6.0,0.0172126477951424,4.0
E1A4G9T31,396,6.0,0.018369363558718,4.0
E1A4G9T32,353,7.0,0.0161786142896801,4.0
E1A4G9T33,390,6.0,0.0180835285618987,14.0
E1A4G9T34,351,6.0,0.0155427612698915,4.0
E1A4G9T35,414,6.5,0.0181335982233331,7.0
E1A4G9T36,429,7.0,0.0202446512798003,44.0
E1A4G9T37,378,6.0,0.016850852097798,5.0
E1A4G9T38,374,6.0,0.0161426537483728,9.0
E1A4G9T39,400,6.0,0.018847603119446,10.0
E1A4G9T4,376,6.0,0.0173999557745759,50.0
E1A4G9T40,400,6.0,0.0181177712794475,10.0
E1A4G9T5,413,6.0,0.0185836225162188,4.0
E1A4G9T6,385,6.0,0.0181817396894558,49.0
E1A4G9T7,356,6.0,0.0154527480724482,3.0
E1A4G9T8,411,6.0,0.0183339939642305,3.0
E1A4G9T9,405,6.0,0.0186164933703883,3.0
E1A6G1T1,462,6.0,2.228959005040898e-07,4.0
E1A6G1T10,399,6.0,1.9769262708315298e-07,9.0
E1A6G1T11,424,6.0,1.9556807704876446e-07,4.0
E1A6G1T12,429,6.0,1.7289927073843905e-07,4.0
E1A6G1T13,409,6.0,1.838065906108306e-07,3.0
E1A6G1T14,386,6.0,1.6256538944441408e-07,4.0
E1A6G1T15,436,6.0,2.100196269569405e-07,3.0
E1A6G1T16,418,6.0,1.7956630741983178e-07,4.0
E1A6G1T17,388,6.0,1.742957343761177e-07,65.0
E1A6G1T18,430,6.0,2.1491880962578677e-07,4.0
E1A6G1T19,408,6.0,1.6727514553844518e-07,4.0
E1A6G1T2,411,6.0,1.909491169973056e-07,24.0
E1A6G1T20,398,6.0,1.805697873632805e-07,4.0
E1A6G1T21,399,6.0,1.9303324094199715e-07,4.0
E1A6G1T22,440,6.0,2.168845028893567e-07,9.0
E1A6G1T23,402,6.0,1.937502404770579e-07,3.0
E1A6G1T24,421,6.0,2.340401961861436e-07,33.0
E1A6G1T25,403,6.0,1.932924887442613e-07,3.0
E1A6G1T26,429,6.0,2.1152700043372133e-07,4.0
E1A6G1T27,398,6.0,1.6677150033255365e-07,5.0
E1A6G1T28,441,6.0,2.2580554323673005e-07,3.0
E1A6G1T29,402,6.0,2.050428826908865e-07,26.0
E1A6G1T3,352,6.0,1.248645840603229e-07,4.0
E1A6G1T30,399,6.0,1.8009521106562845e-07,7.0
E1A6G1T31,379,6.0,1.710543794806208e-07,4.0
E1A6G1T32,424,6.0,2.328925906155473e-07,12.0
E1A6G1T33,410,6.0,1.550160281102633e-07,20.0
E1A6G1T34,430,6.0,1.861821878755903e-07,8.0
E1A6G1T35,379,6.0,1.6959893393906017e-07,22.0
E1A6G1T36,382,6.0,1.5400159279251506e-07,7.0
E1A6G1T37,398,6.0,2.2528913895735605e-07,20.0
E1A6G1T38,386,6.0,1.6622673967351153e-07,57.0
E1A6G1T39,402,6.0,2.072796717415393e-07,9.0
E1A6G1T4,370,6.0,1.3978825153360065e-07,3.0
E1A6G1T40,401,6.0,1.940893564437599e-07,3.0
E1A6G1T5,418,6.0,2.2248683400222135e-07,4.0
E1A6G1T6,441,6.0,2.0828037587611185e-07,21.0
E1A6G1T7,434,6.0,1.884020603720296e-07,4.0
E1A6G1T8,404,6.0,1.8839259324202939e-07,3.0
E1A6G1T9,399,6.0,1.861104473150633e-07,13.0
E1A6G4T1,371,6.0,0.0001509168614432,15.0
E1A6G4T10,385,6.0,0.0001777012015574,7.0
E1A6G4T11,401,6.0,0.0001754845268051,4.0
E1A6G4T12,372,6.0,0.0001614864971122,7.0
E1A6G4T13,390,6.0,0.0001725024715248,3.0
E1A6G4T14,388,6.0,0.0001621966619133,22.0
E1A6G4T15,389,6.0,0.0001777026842581,10.0
E1A6G4T16,380,6.0,0.0001638733848971,5.0
E1A6G4T17,389,6.0,0.0001655109531614,5.0
E1A6G4T18,406,6.0,0.0001766096468356,26.0
E1A6G4T19,367,6.0,0.0001613127253222,4.0
E1A6G4T2,371,6.0,0.0001593865095285,3.0
